,1,2,3,4,5,6,7,8,9,10,11,12
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
22,0.3072731343479504,0.056320972189011,0.0020393927913572,-0.0040295564987224,0.0102436729557895,-0.0152780266918968,0.099024430851028,0.1400462915642812,0.1246683320323995,0.0839351692417972,0.0737307545321316,0.1083922159563506
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
23,0.1129340621093494,0.0235372331483771,0.005127125388786,-0.001589453257756,-0.0001924434358102,0.0125409169669288,0.0897232121881246,0.0828072884811601,0.0775982266317876,0.0476237125405701,0.0583661554674479,0.0616183946023036
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
24,0.0950124778204651,0.0388205127092179,0.0137941777018549,0.0021727829783656,0.0108720514006677,0.023384489493553,0.0938145690202898,0.0925360983428307,0.1251053720825463,0.0827895383257834,0.0636352277230143,0.0775354027989428
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
26,0.042895329875673,0.0488471155240275,0.01826648424128,0.0060983459071858,0.0128088865407647,0.0095796625171137,0.0412076429272828,0.0122912716219335,0.0824865689299759,0.0756521489585769,0.0317147818546211,0.0723684243500688
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
27,0.0335181436572639,0.0263813113033684,0.0086786168201149,0.0018325584230532,0.0082415157691019,0.0126450518340022,0.0303366677614912,0.0057310277473775,0.0731740006604119,0.0539606137774317,0.0181045996553631,0.0475370886034492
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
28,0.0208168516306584,0.0196199818306893,0.004759901554646,-9.427983424625808e-05,0.0089951738133453,0.0174859152344225,0.0393231625994859,0.0108928244399721,0.0515114863672406,0.0272435455313742,0.0140081355328031,0.029898735514486
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
29,0.0195101074493777,0.0175821535278172,0.0012443286926812,-0.0011173261660675,-0.0086738034049689,0.0174422972045593,0.0569885608403845,0.0140585557374085,0.0589087921071792,0.0301417375490274,0.0202605443728396,0.045013057273187
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
30,0.014836430724651,0.0176903764633009,-0.002500640734746,-0.0031497560048607,-0.0123884409042935,0.0174941200234268,0.0475379836224887,0.0067919455482784,0.0414765371696316,0.0195381989968718,0.0147584755204213,0.0308961847055727
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
31,0.0077505164483208,0.0293759368509637,-0.0046485088097099,-0.0079944558911626,-0.0158012596539489,0.0025684441899529,0.0377973595834205,-0.0074283118793059,0.0291030667512897,0.0151975628262849,0.0040796903836141,0.0307073562190327
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
32,-0.0025841717190342,0.06423908567763,-0.0053309193382606,-0.0138501974504661,-0.0183881339075855,-0.0165185182361873,0.049218943208841,-0.026781756481981,0.0154649147588343,0.0097657967053802,0.0023272208111014,0.0420626399654051
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
33,0.0374664761190574,0.0662328241212465,0.0166227316560033,-0.001640080914147,0.0005043435621081,-0.020442593167534,0.0694434558111176,-0.0357820798259227,0.0512695957834401,-0.0151938680393248,0.0180543950624785,0.0229561789496732
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
40,0.0851701266653188,0.0211546043899187,0.0280636706915748,-0.0027606234950969,-0.0118820843908038,0.0146594655297522,0.0093525790258365,0.0117101815481182,0.0200280051191458,0.0206351937309806,0.0021978687145794,0.0212192670952794
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
41,0.053596691949844,0.0273401609675844,0.0238429509619817,-0.0004081163646998,-0.0050332484965329,0.0182032751526719,0.0265056281759273,0.008139537701349,0.0104565717890747,0.0101891193631035,0.0054944091178487,0.0171566368737161
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
42,0.0878601323827988,0.0360776971198201,0.026882596154374,-0.0045403622142816,-0.0034362516683226,0.0248647686336166,0.038260389407783,-0.0130766065900522,0.0216999838643217,0.0187250242777925,0.0130388942436657,0.0180122931679018
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
43,0.01742371089495,0.0202198361603351,0.0204176219408797,-0.0012799824391818,0.0041041044985068,-0.0019245807460119,0.0132141261442223,-0.0032136286532222,0.0153816176914232,0.0065316131118345,0.0034511188947017,0.0052353170130184
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
44,0.019807382979516,0.0184767647075122,0.009466109628892,-0.000199388495329,0.0080243202249554,0.0072889384561465,0.0340850268993676,-0.0009903445037906,0.0199479820026975,0.0113991733725693,0.0143792050683212,0.0157136072200474
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
45,0.0501401124498418,0.0478349712202211,0.0264374317715343,0.0041486296550427,0.012304710136454,0.0042274258028013,0.068870624571071,-0.0412011450984608,0.0578291176362958,-0.0040642664189565,0.0077004676811286,0.0069765200256719
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
50,0.0409355294087849,0.0395699820548582,0.0392544581557654,0.002978808453293,0.0062169511904571,0.0328511254777005,0.0227464055993499,0.0296925290984698,0.0154884411389896,0.0081580835879953,0.0050262239324112,0.0106260829709593
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
51,0.0203317011616775,0.0569874790297548,0.028666170360616,0.0152556858371575,-0.0003409172823938,0.0220683422067579,0.0615195201532781,0.0577536725248819,0.018291772647465,0.0086778345451923,-0.002193766399696,0.0007113206726774
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
52,0.0281025429275993,0.0544698611996692,0.0344896310841491,0.0254851414240631,0.0146309843658031,0.0459367263316695,0.0597112203043236,0.0379517776171354,0.0225169224606232,0.024176684680643,0.0117989821100665,0.0073798489636519
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
53,0.0373794488154303,0.0547163003550443,0.0342490480960981,0.0174950410352501,0.0144363989531962,0.0503655344062516,0.0441247276895384,0.0230702060878447,0.0265491641838805,0.0201739457102767,0.010766002823221,0.0102516828060745
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
54,0.0375817148542767,0.0458821457120148,0.0433569746973208,0.0061125803641566,0.0049795987301503,0.0050412435387777,0.0475172343346984,0.0333307870534224,0.046834438125602,0.009751337848415,0.0115105340815603,0.0240427877476316
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
55,0.0370334480948959,0.0295721599667208,0.0255633485751715,0.0031512999545058,0.0003591558732884,0.0033355229251516,0.0310062822153636,0.0282360418920364,0.046777828389195,0.0141939185682502,0.009898856767187,0.0304440071292845
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
56,0.0356660510395837,0.0153483449265332,0.0131812582329998,0.0001870754528205,0.0024323869514677,-0.0019081778317444,0.0512965572218182,0.0016981680706978,0.0352009042082194,0.0182110548579503,0.0215881168726113,0.0360499825263501
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
57,0.0344411157317261,0.0107102387863786,0.0111641213112932,0.000623824192634,0.0005809317220578,0.0166476298244288,0.0572844130398967,0.0271157349695252,0.0643502839055039,0.0246108735023694,0.0236779237039147,0.0193848098865164
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
58,0.0399681737419517,0.0138488488402723,0.0190019940684622,0.0011105432252448,0.0153680895239941,0.025879752420984,0.0806235378536989,0.0875576910583876,0.1181945639189495,0.0512168124520687,0.034893549484319,0.0205163587377672
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
