N_OFICIAL,NOMBRE_ESTACION,NOMBRE_GRAFANA,FEWS,GRAFANA,BOLETINES
INUMET-XXX,Castillos,Castillos,FALSE,FALSE,FALSE
INUMET-XXX,Centurión,Centurión,FALSE,FALSE,FALSE
INUMET-XXX,Cerro Colorado,Cerro Colorado,FALSE,FALSE,FALSE
INUMET-XXX,Chapicuy,Chapicuy,FALSE,FALSE,FALSE
INUMET-XXX,Charqueada,Charqueada,FALSE,FALSE,FALSE
INUMET-XXX,Clara,Clara,FALSE,FALSE,FALSE
INUMET-XXX,Colonia Lavalleja,Colonia Lavalleja,FALSE,FALSE,FALSE
INUMET-XXX,Cuchilla Caraguata (S),Cuchilla Caraguata (S),FALSE,FALSE,FALSE
INUMET-XXX,Cuchilla de Dionisio,Cuchilla de Dionisio,FALSE,FALSE,FALSE
INUMET-XXX,Cuchilla de Salto,Cuchilla de Salto,FALSE,FALSE,FALSE
INUMET-XXX,Cuchilla del Ombú,Cuchilla del Ombú,FALSE,FALSE,FALSE
INUMET-XXX,Ejido de Mercedes,Ejido de Mercedes,FALSE,FALSE,FALSE
INUMET-XXX,El Aguila,El Aguila,FALSE,FALSE,FALSE
INUMET-XXX,El Canelón,El Canelón,FALSE,FALSE,FALSE
INUMET-XXX,El Eucaliptus,El Eucaliptus,FALSE,FALSE,FALSE
INUMET-XXX,El Pinar,El Pinar,FALSE,FALSE,FALSE
INUMET-XXX,Escuela de Policía,Escuela de Policía,FALSE,FALSE,FALSE
INUMET-XXX,Estación Ataques,Estación Ataques,FALSE,FALSE,FALSE
INUMET-XXX,Estación Rinc�n,Estación Rincón,FALSE,FALSE,FALSE
INUMET-XXX,Gral. E. Martinez,Gral. E. Martinez,FALSE,FALSE,FALSE
INUMET-XXX,Guaviyú de Arapey,Guaviyú de Arapey,FALSE,FALSE,FALSE
INUMET-XXX,Guayubira,Guayubira,FALSE,FALSE,FALSE
INUMET-XXX,Guichón,Guichón,FALSE,FALSE,FALSE
INUMET-XXX,Juan J. Castro,Juan J. Castro,FALSE,FALSE,FALSE
INUMET-XXX,Kiyú,Kiyú,FALSE,FALSE,FALSE
INUMET-XXX,La Coronilla (Balneario),La Coronilla (Balneario),FALSE,FALSE,FALSE
INUMET-XXX,La Coronilla (Cebollati),La Coronilla (Cebollati),FALSE,FALSE,FALSE
INUMET-XXX,La Cruz,La Cruz,FALSE,FALSE,FALSE
INUMET-XXX,La Paloma,La Paloma,FALSE,FALSE,FALSE
INUMET-XXX,Laguna Merín,Laguna Merín,FALSE,FALSE,FALSE
INUMET-XXX,Lambare,Lambare,FALSE,FALSE,FALSE
INUMET-XXX,Las Toscas,Las Toscas,FALSE,FALSE,FALSE
INUMET-XXX,Las Víboras,Las Víboras,FALSE,FALSE,FALSE
INUMET-XXX,Lascano,Lascano,FALSE,FALSE,FALSE
INUMET-XXX,Laureles_sa,Laureles_sa,FALSE,FALSE,FALSE
INUMET-XXX,Los Arrayanes,Los Arrayanes,FALSE,FALSE,FALSE
INUMET-XXX,Mansavillagra,Mansavillagra,FALSE,FALSE,FALSE
INUMET-XXX,Manuel Artigas Mal Abrigo,Manuel Artigas Mal Abrigo,FALSE,FALSE,FALSE
INUMET-XXX,Mataojo,Mataojo,FALSE,FALSE,FALSE
INUMET-XXX,Mazangano,Mazangano,FALSE,FALSE,FALSE
INUMET-XXX,Migues,Migues,FALSE,FALSE,FALSE
INUMET-XXX,Minas,Minas,FALSE,FALSE,FALSE
INUMET-XXX,Nuevo Paysandú,Nuevo Paysandú,FALSE,FALSE,FALSE
INUMET-XXX,P. la Puente,P. la Puente,FALSE,FALSE,FALSE
INUMET-XXX,Pan de Azúcar,Pan de Azúcar,FALSE,FALSE,FALSE
INUMET-XXX,Paso Bonilla,Paso Bonilla,FALSE,FALSE,FALSE
INUMET-XXX,Paso de Los Cuadrados,Paso de Los Cuadrados,FALSE,FALSE,FALSE
INUMET-XXX,Paso del Cerro,Paso del Cerro,FALSE,FALSE,FALSE
INUMET-XXX,Paso Potrero,Paso Potrero,FALSE,FALSE,FALSE
INUMET-XXX,Peralta,Peralta,FALSE,FALSE,FALSE
INUMET-XXX,Perseverano,Perseverano,FALSE,FALSE,FALSE
INUMET-XXX,Piedras Coloradas,Piedras Coloradas,FALSE,FALSE,FALSE
INUMET-XXX,Pintado Grande,Pintado Grande,FALSE,FALSE,FALSE
INUMET-XXX,Polanco,Polanco,FALSE,FALSE,FALSE
INUMET-XXX,Progreso,Progreso,FALSE,FALSE,FALSE
INUMET-XXX,Pueblo Porvenir,Pueblo Porvenir,FALSE,FALSE,FALSE
INUMET-XXX,Puntas de Cinco Sauces,Puntas de Cinco Sauces,FALSE,FALSE,FALSE
INUMET-XXX,Puntas del Sauce,Puntas del Sauce,FALSE,FALSE,FALSE
INUMET-XXX,Quebracho,Quebracho,FALSE,FALSE,FALSE
INUMET-XXX,Queguay Chico,Queguay Chico,FALSE,FALSE,FALSE
INUMET-XXX,Río Branco,Río Branco,FALSE,FALSE,FALSE
INUMET-XXX,Risso,Risso,FALSE,FALSE,FALSE
INUMET-XXX,Rosario,Rosario,FALSE,FALSE,FALSE
INUMET-XXX,San Antonio_Sl,San Antonio_Sl,FALSE,FALSE,FALSE
INUMET-XXX,San Gregorio (Pintos),San Gregorio (Pintos),FALSE,FALSE,TRUE
INUMET-XXX,San Jacinto,San Jacinto,FALSE,FALSE,FALSE
INUMET-XXX,Santa Teresa,Santa Teresa,FALSE,FALSE,FALSE
INUMET-XXX,Sarandí de Arapey,Sarandí de Arapey,FALSE,FALSE,FALSE
INUMET-XXX,Sarandí Grande,Sarandí Grande,FALSE,FALSE,FALSE
INUMET-XXX,Tambores,Tambores,FALSE,FALSE,FALSE
INUMET-XXX,Tarariras,Tarariras,FALSE,FALSE,FALSE
