estacion,ancho_ventana,pentada_fin,parametro,valor
44,18,40,beta,2648.352262264848
44,18,40,prob.0,0
44,18,40,prob.media.0,0
44,18,41,alpha,1.9095482014410265
44,18,41,beta,2459.229887918149
44,18,41,prob.0,0
44,18,41,prob.media.0,0
44,18,42,alpha,2.0254599155786366
44,18,42,beta,2393.137967916225
44,18,42,prob.0,0
44,18,42,prob.media.0,0
44,18,43,alpha,2.2421927367570205
44,18,43,beta,2197.825125519006
44,18,43,prob.0,0
44,18,43,prob.media.0,0
44,18,44,alpha,2.167174930440118
44,18,44,beta,2452.3757494132424
44,18,44,prob.0,0
44,18,44,prob.media.0,0
44,18,45,alpha,NA
44,18,45,beta,NA
44,18,45,prob.0,NA
44,18,45,prob.media.0,NA
44,18,46,alpha,NA
44,18,46,beta,NA
44,18,46,prob.0,NA
44,18,46,prob.media.0,NA
44,18,47,alpha,NA
44,18,47,beta,NA
44,18,47,prob.0,NA
44,18,47,prob.media.0,NA
44,18,48,alpha,NA
44,18,48,beta,NA
44,18,48,prob.0,NA
44,18,48,prob.media.0,NA
44,18,49,alpha,NA
44,18,49,beta,NA
44,18,49,prob.0,NA
44,18,49,prob.media.0,NA
44,18,50,alpha,NA
44,18,50,beta,NA
44,18,50,prob.0,NA
44,18,50,prob.media.0,NA
44,18,51,alpha,NA
44,18,51,beta,NA
44,18,51,prob.0,NA
44,18,51,prob.media.0,NA
44,18,52,alpha,NA
44,18,52,beta,NA
44,18,52,prob.0,NA
44,18,52,prob.media.0,NA
44,18,53,alpha,NA
44,18,53,beta,NA
44,18,53,prob.0,NA
44,18,53,prob.media.0,NA
44,18,54,alpha,NA
44,18,54,beta,NA
44,18,54,prob.0,NA
44,18,54,prob.media.0,NA
44,18,55,alpha,NA
44,18,55,beta,NA
44,18,55,prob.0,NA
44,18,55,prob.media.0,NA
44,18,56,alpha,NA
44,18,56,beta,NA
44,18,56,prob.0,NA
44,18,56,prob.media.0,NA
44,18,57,alpha,NA
44,18,57,beta,NA
44,18,57,prob.0,NA
44,18,57,prob.media.0,NA
44,18,58,alpha,NA
44,18,58,beta,NA
44,18,58,prob.0,NA
44,18,58,prob.media.0,NA
44,18,59,alpha,NA
44,18,59,beta,NA
44,18,59,prob.0,NA
44,18,59,prob.media.0,NA
44,18,60,alpha,NA
44,18,60,beta,NA
44,18,60,prob.0,NA
44,18,60,prob.media.0,NA
44,18,61,alpha,NA
44,18,61,beta,NA
44,18,61,prob.0,NA
44,18,61,prob.media.0,NA
44,18,62,alpha,NA
44,18,62,beta,NA
44,18,62,prob.0,NA
44,18,62,prob.media.0,NA
44,18,63,alpha,NA
44,18,63,beta,NA
44,18,63,prob.0,NA
44,18,63,prob.media.0,NA
44,18,64,alpha,NA
44,18,64,beta,NA
44,18,64,prob.0,NA
44,18,64,prob.media.0,NA
44,18,65,alpha,NA
44,18,65,beta,NA
44,18,65,prob.0,NA
44,18,65,prob.media.0,NA
44,18,66,alpha,NA
44,18,66,beta,NA
44,18,66,prob.0,NA
44,18,66,prob.media.0,NA
44,18,67,alpha,NA
44,18,67,beta,NA
44,18,67,prob.0,NA
44,18,67,prob.media.0,NA
44,18,68,alpha,NA
44,18,68,beta,NA
44,18,68,prob.0,NA
44,18,68,prob.media.0,NA
44,18,69,alpha,NA
44,18,69,beta,NA
44,18,69,prob.0,NA
44,18,69,prob.media.0,NA
44,18,70,alpha,NA
44,18,70,beta,NA
44,18,70,prob.0,NA
44,18,70,prob.media.0,NA
44,18,71,alpha,NA
44,18,71,beta,NA
44,18,71,prob.0,NA
44,18,71,prob.media.0,NA
44,18,72,alpha,NA
44,18,72,beta,NA
44,18,72,prob.0,NA
44,18,72,prob.media.0,NA
44,24,1,alpha,NA
44,24,1,beta,NA
44,24,1,prob.0,NA
44,24,1,prob.media.0,NA
44,24,2,alpha,NA
44,24,2,beta,NA
44,24,2,prob.0,NA
44,24,2,prob.media.0,NA
44,24,3,alpha,NA
44,24,3,beta,NA
44,24,3,prob.0,NA
44,24,3,prob.media.0,NA
44,24,4,alpha,NA
44,24,4,beta,NA
44,24,4,prob.0,NA
44,24,4,prob.media.0,NA
44,24,5,alpha,NA
44,24,5,beta,NA
44,24,5,prob.0,NA
44,24,5,prob.media.0,NA
44,24,6,alpha,NA
44,24,6,beta,NA
44,24,6,prob.0,NA
44,24,6,prob.media.0,NA
44,24,7,alpha,NA
44,24,7,beta,NA
44,24,7,prob.0,NA
44,24,7,prob.media.0,NA
44,24,8,alpha,NA
44,24,8,beta,NA
44,24,8,prob.0,NA
44,24,8,prob.media.0,NA
44,24,9,alpha,NA
44,24,9,beta,NA
44,24,9,prob.0,NA
44,24,9,prob.media.0,NA
44,24,10,alpha,NA
44,24,10,beta,NA
44,24,10,prob.0,NA
44,24,10,prob.media.0,NA
44,24,11,alpha,NA
44,24,11,beta,NA
44,24,11,prob.0,NA
44,24,11,prob.media.0,NA
