fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,perc_50,ens_1985,ens_1986,ens_1987,ens_1988,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020,ens_2021,ens_2022,ens_2023,ens_2024,ens_2025
1985-09-15,5,1986-02-15,19.684,71.523,27.507,,31.884,6.502,7.645,97.906,33.333,30.101,170.475,81.965,14.91,13.549,8.37,102.082,111.406,2.86,26.022,31.694,104.377,19.0,45.924,46.077,27.507,10.929,27.181,555.521,2.97,9.536,66.763,768.73,33.317,6.71,11.388,6.927,165.503,13.727,5.541,31.619,2.671,35.822,20.955,
1985-09-15,6,1986-03-15,7.314,166.738,17.064,,11.847,879.184,2.854,86.508,12.386,11.185,84.989,31.927,20.24,5.035,3.11,37.931,389.489,1.063,209.909,1438.143,62.855,7.06,17.064,19.075,1351.163,4.061,47.142,161.657,1.104,4.927,24.808,357.144,12.38,2.493,4.232,2.574,71.401,5.101,2.059,11.764,0.993,1028.954,76.956,
1985-10-15,1,1985-11-15,337.511,331.606,255.623,,865.05,204.027,227.207,234.976,635.435,341.287,215.601,1135.596,313.28,393.186,278.236,241.549,294.75,184.583,256.55,406.821,346.259,564.049,255.623,184.43,219.645,187.687,184.43,673.208,187.74,262.32,202.09,454.706,714.848,226.046,234.801,186.497,273.459,188.28,184.43,259.964,191.283,240.218,282.501,
1985-10-15,2,1985-12-15,142.567,201.856,123.975,,236.41,83.871,100.564,117.647,237.325,207.86,92.705,573.808,134.11,164.106,126.275,832.146,354.975,68.68,118.865,170.712,410.864,226.91,115.19,68.53,128.628,71.557,68.53,294.256,71.524,114.621,491.177,175.555,226.093,98.644,115.124,70.483,706.46,72.095,68.53,115.841,74.676,343.05,123.975,
1985-10-15,3,1986-01-15,52.975,101.975,60.978,,87.844,31.534,37.367,50.287,98.813,86.053,34.693,209.307,50.047,60.978,46.921,270.5,320.928,25.52,56.851,64.92,159.296,95.683,89.186,89.011,61.326,26.589,25.464,173.887,26.577,42.591,158.43,463.625,87.304,37.531,48.521,26.19,475.674,26.789,25.958,87.332,27.748,142.516,47.234,
1985-10-15,4,1986-02-15,19.684,78.791,31.975,,32.641,11.717,13.885,116.814,36.717,31.975,177.046,77.773,18.596,22.658,17.435,113.124,162.656,9.483,28.948,24.123,117.079,35.553,47.857,51.822,22.787,9.88,33.852,547.146,9.875,18.506,58.869,786.165,32.706,13.946,18.538,9.731,203.007,9.954,9.93,44.887,10.31,52.956,31.892,
1985-10-15,5,1986-03-15,7.314,170.297,17.783,,12.129,881.122,5.173,93.6,13.643,11.881,87.43,30.37,21.61,8.419,6.478,42.034,436.997,3.523,214.342,1435.33,67.574,13.211,17.783,21.21,1349.409,3.671,49.621,159.114,3.669,8.26,21.874,363.622,12.153,5.182,6.888,3.616,86.396,3.699,3.69,16.694,3.831,1035.32,81.02,
1985-10-15,6,1986-04-15,40.828,132.886,12.137,,4.507,185.174,1.93,403.05,5.069,4.415,617.067,12.107,46.361,10.393,2.407,15.619,142.623,12.137,98.552,507.035,30.563,187.033,88.496,8.987,934.821,1.364,27.632,59.208,1.363,3.069,8.128,282.756,4.516,547.18,2.56,5.053,33.954,1.374,1.371,6.203,1.424,834.692,42.381,
1985-11-15,1,1985-12-15,142.567,221.644,145.464,,142.567,153.031,142.567,178.249,155.568,200.005,142.567,300.397,155.156,142.567,143.047,913.812,363.43,142.737,146.61,143.874,381.147,147.807,142.567,142.567,225.535,142.567,142.977,170.653,142.567,142.567,761.537,142.567,145.464,158.684,161.285,149.58,720.733,144.021,142.567,142.567,142.567,342.854,142.567,
1985-11-15,2,1986-01-15,52.975,107.931,63.087,,52.975,61.394,52.975,78.865,64.209,81.585,53.22,125.74,63.087,52.975,53.437,288.841,321.925,53.141,68.289,54.197,147.271,57.71,98.573,116.521,97.875,52.975,53.365,99.209,52.975,52.975,210.358,451.367,55.944,66.653,69.402,58.827,482.609,54.332,53.468,97.263,52.975,145.655,54.143,
