Fecha,Precip,PET,QM,mes_dia
1999-10-23,0.0,4.7,7.559,10-23
1999-10-24,0.0,5.3,6.494,10-24
1999-10-25,0.0,4.5,4.849,10-25
1999-10-26,0.0,5.4,3.717,10-26
1999-10-27,1.082693894,5.0,3.095,10-27
1999-10-28,0.0,4.2,2.625,10-28
1999-10-29,2.505908483,3.3,2.357,10-29
1999-10-30,0.250723018,2.5,2.138,10-30
1999-10-31,0.0,3.1,1.81,10-31
1999-11-01,0.0,4.2,1.587,11-01
1999-11-02,0.0,6.9,1.64,11-02
1999-11-03,0.0,4.8,1.617,11-03
1999-11-04,0.0,2.1,1.552,11-04
1999-11-05,0.0,4.2,1.404,11-05
1999-11-06,0.626807545,5.3,1.138,11-06
1999-11-07,1.082341818,3.1,1.083,11-07
1999-11-08,0.0,4.7,1.011,11-08
1999-11-09,0.0,4.5,0.914,11-09
1999-11-10,0.0,4.3,0.804,11-10
1999-11-11,0.0,4.9,0.724,11-11
1999-11-12,0.0,5.3,0.621,11-12
1999-11-13,0.0,4.8,0.499,11-13
1999-11-14,0.0,5.7,0.426,11-14
1999-11-15,0.0,6.7,0.379,11-15
1999-11-16,0.0,6.4,0.344,11-16
1999-11-17,0.0,6.4,0.313,11-17
1999-11-18,0.0,6.1,0.288,11-18
1999-11-19,0.0,4.6,0.269,11-19
1999-11-20,0.0,4.8,0.258,11-20
1999-11-21,0.0,5.1,0.254,11-21
1999-11-22,0.0,5.2,0.249,11-22
1999-11-23,3.589732501,2.9,0.234,11-23
1999-11-24,0.76857605,5.0,0.407,11-24
1999-11-25,0.444357847,5.0,0.408,11-25
1999-11-26,8.613186014,3.0,0.464,11-26
1999-11-27,0.0,5.1,0.427,11-27
1999-11-28,0.0,5.9,0.516,11-28
1999-11-29,0.0,6.4,0.516,11-29
1999-11-30,0.0,7.4,0.462,11-30
1999-12-01,0.0,7.4,0.349,12-01
1999-12-02,3.453674409,3.0,0.339,12-02
1999-12-03,5.05614459,3.0,0.332,12-03
1999-12-04,0.0,6.6,0.285,12-04
1999-12-05,3.931172751,2.0,0.288,12-05
1999-12-06,0.0,4.9,0.253,12-06
1999-12-07,0.0,4.7,0.238,12-07
1999-12-08,0.0,5.5,0.194,12-08
1999-12-09,0.0,6.0,0.176,12-09
1999-12-10,0.0,6.3,0.17,12-10
1999-12-11,0.0,6.2,0.157,12-11
1999-12-12,0.515577882,4.1,0.152,12-12
1999-12-13,15.77037076,3.9,0.16,12-13
1999-12-14,0.0,7.0,0.192,12-14
1999-12-15,0.0,4.9,1.861,12-15
1999-12-16,0.0,5.3,0.99,12-16
1999-12-17,0.0,6.5,0.54,12-17
1999-12-18,0.0,7.2,0.397,12-18
1999-12-19,0.0,6.7,0.283,12-19
1999-12-20,0.0,5.7,0.237,12-20
1999-12-21,0.0,6.4,0.179,12-21
1999-12-22,0.0,5.8,0.155,12-22
1999-12-23,0.0,5.6,0.126,12-23
1999-12-24,0.0,6.4,0.1,12-24
1999-12-25,0.0,6.8,0.094,12-25
1999-12-26,0.0,6.9,0.08,12-26
1999-12-27,3.529732416,7.0,0.072,12-27
1999-12-28,2.173709229,4.2,0.065,12-28
1999-12-29,0.601493487,3.1,0.069,12-29
1999-12-30,1.276432906,4.6,0.085,12-30
1999-12-31,0.0,6.0,0.08,12-31
2000-01-01,0.0,6.2,0.073,01-01
2000-01-02,0.0,6.4,0.065,01-02
2000-01-03,0.0,6.4,0.057,01-03
2000-01-04,0.0,5.6,0.064,01-04
2000-01-05,0.0,5.6,0.064,01-05
2000-01-06,0.0,6.4,0.06,01-06
2000-01-07,0.0,6.6,0.048,01-07
2000-01-08,0.0,6.7,0.043,01-08
2000-01-09,12.32826177,6.2,0.044,01-09
2000-01-10,5.651113803,6.3,0.061,01-10
2000-01-11,0.0,6.2,0.395,01-11
2000-01-12,0.0,7.6,0.251,01-12
2000-01-13,11.66924737,4.6,0.226,01-13
2000-01-14,3.037682292,3.7,0.332,01-14
2000-01-15,0.0,6.4,0.382,01-15
2000-01-16,7.580667169,5.5,0.16,01-16
2000-01-17,0.0,4.0,0.138,01-17
2000-01-18,0.0,5.8,0.123,01-18
2000-01-19,0.0,6.1,0.084,01-19
2000-01-20,0.0,6.6,0.068,01-20
2000-01-21,0.0,6.2,0.051,01-21
2000-01-22,0.0,5.5,0.052,01-22
2000-01-23,0.0,5.0,0.04,01-23
2000-01-24,0.0,4.9,0.034,01-24
2000-01-25,0.0,5.5,0.028,01-25
2000-01-26,0.0,5.7,0.031,01-26
2000-01-27,0.0,5.3,0.034,01-27
2000-01-28,0.0,6.0,0.03,01-28
2000-01-29,0.0,6.4,0.027,01-29
2000-01-30,4.555931323,4.5,0.029,01-30
2000-01-31,5.174727438,1.7,0.042,01-31
2000-02-01,1.924661332,3.3,0.176,02-01
2000-02-02,0.845164624,3.8,0.248,02-02
2000-02-03,0.0,3.7,0.231,02-03
2000-02-04,0.0,4.9,0.151,02-04
2000-02-05,0.0,5.1,0.13,02-05
2000-02-06,0.0,5.1,0.115,02-06
2000-02-07,0.0,5.5,0.077,02-07
2000-02-08,0.0,5.6,0.083,02-08
2000-02-09,9.901243121,2.1,0.08,02-09
2000-02-10,0.0,5.0,0.06,02-10
2000-02-11,0.0,4.6,0.051,02-11
