N_Oficial,Nombre_est,latitude,longitude,geometry,N_DinaguaW,N_UTEWSH,N_UTEWSP,Institucio,Tipo_estac,Parametros,Resolucion,wflow_basi,wflow_outp,WHOS_siteC
INUMET-261,STA.BERNARDINA,-33.359,-56.514,POINT (-56.514 -33.359),INUMET-261,,,INUMET,Convencional,P,Diaria,,,
INUMET-262,STA.LUCIA (LA CALERA,-34.22,-55.17,POINT (-55.17 -34.22),INUMET-262,,,INUMET,Convencional,P,Diaria,,,
INUMET-265,TALA,-34.344,-55.761,POINT (-55.761 -34.344),INUMET-265,,,INUMET,Convencional,P,Diaria,,,
INUMET-461,Toledo,-34.74,-56.08,POINT (-56.08 -34.74),INUMET-461,,,INUMET,Convencional,P,Diaria,,,
INUMET-272,TREINTAYTRES,-33.22286037,-54.38734092,POINT (-54.38734092 -33.22286037),INUMET-272,,,INUMET,Convencional,P,Diaria,,,
INUMET-274,TRES BOLICHES,-32.27,-54.18,POINT (-54.18 -32.27),INUMET-274,,,INUMET,Convencional,P,Diaria,,,
INUMET-276,TRINIDAD,-33.53656606,-56.91599611,POINT (-56.91599611 -33.53656606),INUMET-276,,,INUMET,Convencional,P,Diaria,,,
INUMET-278,V.ROSARIO,-34.31,-55.47,POINT (-55.47 -34.31),INUMET-278,,,INUMET,Convencional,P,Diaria,,,
INUMET-281,VELAZQUEZ,-34.038,-54.282,POINT (-54.282 -34.038),INUMET-281,,,INUMET,Convencional,P,Diaria,,,
INUMET-284,VICHADERO,-31.7793,-54.6915,POINT (-54.6915 -31.7793),INUMET-284,,,INUMET,Convencional,P,Diaria,,,
INUMET-285,VILLA 25 DE MAYO,-34.198,-56.341,POINT (-56.341 -34.198),INUMET-285,,,INUMET,Convencional,P,Diaria,,,
INUMET-286,VILLA CARDAL,-34.291,-56.396,POINT (-56.396 -34.291),INUMET-286,,,INUMET,Convencional,P,Diaria,,,
INUMET-291,VILLA SOLIS DE MATAO,-34.598,-55.466,POINT (-55.466 -34.598),INUMET-291,,,INUMET,Convencional,P,Diaria,,,
INUMET-292,VILLA SORIANO,-33.39,-58.32,POINT (-58.32 -33.39),INUMET-292,,,INUMET,Convencional,P,Diaria,,,
INUMET-293,YOUNG,-32.68634837,-57.64992019,POINT (-57.64992019 -32.68634837),INUMET-293,,,INUMET,Convencional,P,Diaria,,,
INUMET-295,ZAPICAN,-33.527,-54.94,POINT (-54.94 -33.527),INUMET-295,,,INUMET,Convencional,P,Diaria,,,
INUMET-62,CHUY,-33.693,-53.447,POINT (-53.447 -33.693),INUMET-62,,,INUMET,Convencional,P,Diaria,,,
INUMET-86,CUCHILLA DE NAVARRO,-32.55,-56.82,POINT (-56.82 -32.55),INUMET-86,,,INUMET,Convencional,P,Diaria,,,
INUMET-88,CUCHILLA DEL CARMEN,-32.73,-55.03,POINT (-55.03 -32.73),INUMET-88,,,INUMET,Convencional,P,Diaria,,,
INUMET-111,FRAILE MUERTO,-32.5187,-54.5394,POINT (-54.5394 -32.5187),INUMET-111,,,INUMET,Convencional,P,Diaria,,,
INUMET-168,MOLLES (CARLOS REYLE,-33.05672,-56.49894,POINT (-56.49894 -33.05672),INUMET-168,,,INUMET,Convencional,P,Diaria,,,
INUMET-175,P. DE MACIEL,-33.62281,-56.36264,POINT (-56.36264 -33.62281),INUMET-175,,,INUMET,Convencional,P,Diaria,,,
INUMET-259,SEQUEIRA,-31.0,-56.876,POINT (-56.876 -31),INUMET-259,,,INUMET,Convencional,P,Diaria,,,
INUMET-270,TOMAS GOMENSORO,-30.431,-57.44,POINT (-57.44 -30.431),INUMET-270,,,INUMET,Convencional,P,Diaria,,,
INUMET-271,TRANQUERAS,-31.19,-55.776,POINT (-55.776 -31.19),INUMET-271,,,INUMET,Convencional,P,Diaria,,,
INUMET-608,Aeropuerto Melilla G3,-34.78999,-56.26628,POINT (-56.26628 -34.78999),INUMET-608,,,INUMET,Automatica,P,5 min,,,
INUMET-1337,Artigas G3,-30.39911,-56.51267,POINT (-56.51267 -30.39911),INUMET-1337,,,INUMET,Automatica,P,5 min,,,
INUMET-1341,Atlántida G3,-34.77972,-55.75277,POINT (-55.75277 -34.77972),INUMET-1341,,,INUMET,Automatica,P,5 min,,,
INUMET-594,Colonia G3,-34.45182,-57.76804,POINT (-57.76804 -34.45182),INUMET-594,,,INUMET,Automatica,P,5 min,,,
INUMET-610,Durazno G3,-33.35052,-56.49724,POINT (-56.49724 -33.35052),INUMET-610,,,INUMET,Automatica,P,5 min,,,
INUMET-953,Laguna del Sauce G3,-34.86045,-55.10714,POINT (-55.10714 -34.86045),INUMET-953,,,INUMET,Automatica,P,5 min,,,
