C3,NOMBRE
570,Río Negro entre Río Yí y Ao. Grande Del Sur
571,Ao. Grande Del Sur entre nacientes y Río Negro
575,Río Negro entre Ao. Grande Del Sur y Rincón De Palmar
580,Río Negro entre Rincón De Palmar y Ao. Grande Del Norte
581,Río Negro entre Ao. Grande Del Norte y Ao. Don Esteban Grande
582,Río Negtro entre Ao. Don Esteban Grande y Ao. De Vera
583,Río Negro entre Ao. De Vera y Ao. Perico Flaco
584,Río Negro entre Ao. Perico Flaco y Ao. Coladeras
585,Río Negro entre Ao. Coladeras y Ao. Abrojal
586,Río Negro entre Ao. Abrojal y Ao. Cololó
587,Río Negro entre Ao. Cololó y Ao. Bequeló
588,Río Negro entre Ao. Bequeló y Ao. De Las Maulas
589,Río Negro entre Ao. De Las Maulas y Río Uruguay
600,Río Santa Lucía entre nacientes y Ao. San Francisco
601,Río Santa Lucía entre Ao. San Francisco y Ao. Del Soldado
602,Río Santa Lucía entre Ao. Del Soldado y Ao. De Los Chanchos
603,Río Santa Lucía entre Ao. De Los Chanchos y Ao. Gaetán
604,Río Santa Lucía entre Ao. Gaetán y Ao. Casupá
605,Río Santa Lucía entre Ao. Casupá y Ao. Vejigas
606,Río Santa Lucía entre Ao. Vejigas y Ao. Chamizo Grande
607,Río Santa Lucía entre Ao. Chamizo Grande y Ao. Del Tala
608,Río Santa Lucía entre Ao. Del Tala y Ao. De Mendoza
609,Río Santa Lucía entre Ao. De Mendoza y Río Santa Lucía Chico
610,Río Santa Lucía Chico entre nacientes y Ao. Tornero Grande
611,Río Santa Lucía Chico entre Ao. Tornero Grande y Ao. Talita
612,Río Santa Lucía Chico entre Ao. Talita y Ao. De La Cruz
613,Río Santa Lucía Chico entre Ao. De La Cruz y Ao. De La Macana
615,Río Santa Lucía Chico entre Ao. De La Macana y Ao. De Pintado
616,Río Santa Lucía Chico entre Ao. De Pintado y Ao. Sauce De Berdías
620,Río Santa Lucía entre Río Santa Lucía Chico y Ao. De La Virgen
625,Río Santa Lucía entre Ao. De La Virgen y Ao. Canelón Grande
630,Ao. Canelón Grande entre nacientes y Ao. Canelón Chico
635,Ao. Canelón Grande entre Ao. Canelón Chico y Río Santa Lucía
640,Río Santa Lucía entre Ao. Canelón Grande y Ao. del Juncal
645,Río Santa Lucía entre Ao. del Juncal y Río San José
650,Río San José entre nacientes y Ao. De Pintos
651,Río San José entre Ao. De Pintos y Ao. San Gregorio
652,Río San José entre Ao. San Gregorio y Ao. Guaycurú
653,Río San José entre Ao. Guaycurú y Ao. Mahoma
654,Río San José entre Ao. Mahoma y Ao. Chamizo
655,Río San José entre Ao. Chamizo y Ao. Carreta Quemada
656,Río San José entre Ao. Carreta Quemada y Ao. Castellanos
657,Río San José entre Ao. Castellanos y Ao. Cagancha
658,Río San José entre Ao. Cagancha y Río Santa Lucía
660,Río Santa Lucía entre Río San José y Ao. Durán
661,Río Santa Lucía entre Ao. Durán y Ao. Tropa Vieja
662,Río Santa Lucía entre Ao. Tropa Vieja y Ao. De Las Brujas Grande
666,Río Santa Lucía entre Ao. De Las Brujas Grande y Ao. Colorado
670,Ao. Colorado entre nacientes y Ao. Colorado Chico
673,Ao. Colorado entre Ao. Colorado Chico y Ao. De Las Piedras
677,Ao. Colorado entre Ao. De Las Piedras y Río Santa Lucía
680,Río Santa Lucía entre Ao. Colorado y Ao. De Los Carros
683,Río Santa Lucía entre Ao. De Los Carros y Ao. De Melilla
687,Río Santa Lucía entre Ao. De Melilla y Río de la Plata
618,Río Santa Lucía Chico entre Ao. Isla Mala y Río Santa Lucía
101,Río Cuareim entre nacientes y Ao. Catalán Grande
